2023/12/10 18:43:46	 JohnK shutDowns the system
2023/12/10 18:43:49	 Init system
2023/12/10 18:43:53	 User Sam logs in the system
2023/12/10 18:48:20	 Sam shutDowns the system
2023/12/10 18:48:22	 Init system
2023/12/10 18:48:24	 User Sam logs in the system
2023/12/10 18:48:26	 Sam shutdowns the system
2023/12/10 18:48:28	 Init system
2023/12/10 18:48:31	 User JohnK logs in the system [NEW USER]
2023/12/10 18:48:34	 JohnK shutdowns the system
2023/12/10 18:50:17	 Init system
2023/12/10 18:50:20	 User JohnK logs in the system [NEW USER]
2023/12/10 18:50:26	 User JohnK logs in the system [NEW USER]
2023/12/10 19:04:42	 Init system
2023/12/10 19:04:45	 User JOHNK logs in the system [NEW USER]
2023/12/10 19:04:54	 Init system
2023/12/10 19:04:56	 User Johnk logs in the system [NEW USER]
2023/12/10 19:05:08	 User Johnk logs in the system [NEW USER]
2023/12/10 19:05:21	 Johnk shutdowns the system
2023/12/10 19:06:50	 Init system
2023/12/10 19:06:51	 User JK logs in the system [NEW USER]
2023/12/10 19:06:53	 User JK logs in the system [NEW USER]
2023/12/10 19:07:11	 User JK logs in the system [NEW USER]
2023/12/10 19:07:17	 Init system
2023/12/10 19:07:18	 User JK logs in the system [NEW USER]
2023/12/10 19:07:19	 User JK logs in the system [NEW USER]
2023/12/10 19:12:00	 Init system
2023/12/10 19:12:03	 User Sam logs in the system
2023/12/10 19:12:06	 User Sam logs in the system
2023/12/10 19:12:25	 Sam shutdowns the system
2023/12/10 19:12:55	 Init system
2023/12/10 19:12:56	 User Sam logs in the system
2023/12/10 19:12:58	 User Sam logs in the system
2023/12/10 19:13:27	 Sam shutdowns the system
2023/12/10 19:16:02	 Init system
2023/12/10 19:16:06	 User Sam logs in the system
2023/12/10 19:16:40	 Sam shutdowns the system
2023/12/10 19:16:45	 Init system
2023/12/10 19:16:49	 User sam logs in the system
2023/12/10 19:17:05	 User sam logs in the system
2023/12/10 19:17:25	 sam shutdowns the system
2023/12/10 19:18:35	 Init system
2023/12/10 19:18:38	 User JK logs in the system [NEW USER]
2023/12/10 19:18:40	 User JK logs in the system [NEW USER]
2023/12/10 19:18:50	 JK shutdowns the system
2023/12/10 19:31:10	 Init system
2023/12/10 19:31:12	 User JK logs in the system [NEW USER]
2023/12/10 19:32:18	 Init system
2023/12/10 19:32:20	 User JK logs in the system [NEW USER]
2023/12/10 19:33:26	 Init system
2023/12/10 19:33:27	 User JK logs in the system [NEW USER]
2023/12/10 19:33:45	 User JK logs in the system [NEW USER]
2023/12/10 19:36:11	 Init system
2023/12/10 19:36:12	 User JK logs in the system [NEW USER]
2023/12/10 19:38:27	 Init system
2023/12/10 19:38:30	 User �� logs in the system [NEW USER]
2023/12/10 19:39:22	 User �� logs in the system [NEW USER]
2023/12/10 19:41:19	 Init system
2023/12/10 19:41:21	 User JK logs in the system [NEW USER]
2023/12/10 19:41:28	 User JK logs in the system [NEW USER]
2023/12/10 19:41:37	 JK shutdowns the system
2023/12/10 19:48:45	 Init system
2023/12/10 19:48:46	 User JK logs in the system [NEW USER]
2023/12/10 19:50:27	 Init system
2023/12/10 19:50:28	 User JK logs in the system [NEW USER]
2023/12/10 19:51:38	 Init system
2023/12/10 19:51:40	 User JK logs in the system [NEW USER]
2023/12/10 19:55:43	 Init system
2023/12/10 19:55:48	 User jk logs in the system [NEW USER]
2023/12/10 19:56:23	 User jk logs in the system [NEW USER]
2023/12/10 19:56:25	 jk shutdowns the system
2023/12/10 19:57:12	 Init system
2023/12/10 19:57:14	 User JK logs in the system [NEW USER]
2023/12/10 19:57:52	 User JK logs in the system [NEW USER]
2023/12/10 19:59:54	 Init system
2023/12/10 19:59:55	 User JK logs in the system [NEW USER]
2023/12/10 20:00:19	 User JK logs in the system [NEW USER]
2023/12/10 20:09:41	 Init system
2023/12/10 20:09:44	 User JK logs in the system [NEW USER]
2023/12/10 20:09:53	 JK shutdowns the system
2023/12/10 20:09:56	 Init system
2023/12/10 20:09:58	 User Sam logs in the system
2023/12/10 20:10:10	 User Sam logs in the system
2023/12/10 20:10:14	 Sam shutdowns the system
2023/12/10 20:25:48	 Init system
2023/12/10 20:25:50	 User JK logs in the system [NEW USER]
2023/12/10 20:26:00	 User JK logs in the system
2023/12/10 20:26:51	 JK shutdowns the system
2023/12/10 20:26:54	 Init system
2023/12/10 20:26:56	 User Sam logs in the system
2023/12/10 20:27:13	 User Sam logs in the system
2023/12/10 20:27:15	 Sam shutdowns the system
2023/12/10 20:28:58	 Init system
2023/12/10 20:29:00	 User Sam logs in the system
2023/12/10 20:29:10	 User Sam logs in the system
2023/12/10 20:29:12	 Sam shutdowns the system
2023/12/10 20:46:16	 Init system
2023/12/10 20:46:18	 User Sam logs in the system
2023/12/10 20:46:21	 User Sam logs in the system
2023/12/10 20:46:34	 Sam shutdowns the system
2023/12/10 20:47:36	 Init system
2023/12/10 20:47:38	 User sam logs in the system
2023/12/10 20:47:47	 User sam logs in the system
2023/12/10 20:49:00	 Init system
2023/12/10 20:49:02	 User Sam logs in the system
2023/12/10 20:49:05	 User Sam logs in the system
2023/12/10 20:51:08	 Init system
2023/12/10 20:51:11	 User Sam logs in the system
2023/12/10 20:51:12	 User Sam logs in the system
2023/12/10 20:51:31	 User Sam logs in the system
2023/12/10 20:51:34	 User Sam logs in the system
